term,id,fk,smog,consen,ar,fkg,fks,lwf
autism,29275509,,15.6,,18.4,13.6,39.26,12.5
autism,29275387,,17.6,,19.8,16.3,16.12,10.8
autism,29275337,,12.4,,11.1,9.6,49.62,6.66666666667
autism,29274915,,17.3,,20.1,17.2,19.2,13.375
autism,29274743,,15.9,,17.5,15.0,19.47,8.33333333333
autism,29274502,,16.1,,16.2,14.0,27.32,10.7
autism,29274201,,14.8,,17.2,13.0,35.37,7.0
autism,29274095,,16.2,,18.1,15.3,29.38,13.25
autism,29274009,,14.6,,15.9,12.8,35.98,14.375
autism,29274008,,17.5,,19.5,16.7,14.9,11.0
autism,29273344,,17.9,,19.0,16.4,15.91,6.83333333333
autism,29272729,,16.9,,20.3,17.0,25.12,12.875
autism,29272297,,13.0,,13.2,11.5,39.43,8.91666666667
autism,29271527,,20.7,,23.7,20.6,-0.57,13.625
autism,29271293,,16.4,,18.2,15.0,30.3,7.41666666667
autism,29271092,,15.5,,16.6,13.9,33.14,12.375
autism,29271070,,16.4,,17.7,14.7,30.91,18.0
autism,29270934,,16.7,,19.6,16.0,22.34,7.5
autism,29270815,,18.4,,21.3,17.7,23.09,18.5
autism,29270283,,16.0,,16.3,14.7,30.91,11.0
autism,29269185,,15.5,,15.9,14.0,32.83,10.9
autism,29268154,,18.3,,22.7,18.1,16.76,19.1666666667
autism,29267601,,15.9,,19.1,15.7,28.37,18.5
autism,29267417,,14.8,,17.4,14.8,25.39,13.625
autism,29267136,,13.0,,13.1,10.8,46.47,13.5
autism,29266976,,14.6,,14.5,12.5,36.79,10.1
autism,29266848,,14.6,,16.3,13.4,34.36,9.0
autism,29266823,,15.4,,17.4,13.7,33.54,7.66666666667
autism,29266810,,16.4,,18.5,16.5,4.78,7.5
autism,29266770,,15.6,,16.0,13.4,34.36,11.0
autism,29266505,,16.9,,20.1,16.5,10.19,6.57142857143
autism,29266222,,18.2,,20.8,17.9,17.17,14.5
autism,29265992,,16.9,,20.8,16.1,27.45,12.25
autism,29265723,,15.2,,16.9,12.8,35.88,10.5833333333
autism,29265371,,16.8,,17.9,14.7,25.49,10.625
autism,29264680,,15.2,,15.7,12.6,36.39,6.07142857143
autism,29264397,,14.2,,17.0,13.5,28.84,6.92857142857
autism,29264391,,16.2,,15.8,13.3,29.14,8.5
autism,29264390,,17.5,,21.1,17.8,-3.89,7.64285714286
autism,29263841,,16.5,,17.3,14.7,30.91,10.4
autism,29263838,,15.7,,16.1,13.7,28.33,7.07142857143
autism,29262854,,15.1,,16.6,12.5,42.21,18.3333333333
autism,29262498,,15.7,,26.1,14.9,25.19,11.3
autism,29262472,,11.0,,16.7,8.3,58.38,16.6666666667
autism,29262471,,13.3,,24.5,11.5,44.75,13.5
autism,29262470,,12.4,,23.6,9.5,60.65,10.1
autism,29262469,,10.0,,25.8,7.1,61.53,7.91666666667
autism,29260439,,17.5,,18.6,15.7,17.74,10.8
autism,29260380,,15.0,,16.5,12.6,41.8,8.6
autism,29259892,,16.9,,20.4,15.6,23.16,13.5
autism,29259543,,17.6,,19.6,17.3,18.89,12.2
autism,29258329,,16.6,,18.7,16.3,21.53,10.3
autism,29257937,,14.6,,16.0,13.6,28.54,21.0
autism,29257126,,17.0,,18.5,15.0,24.88,13.5
autism,29256924,,19.3,,22.0,18.8,4.21,13.625
autism,29255960,,13.6,,15.8,12.6,31.07,7.35714285714
autism,29255778,,18.1,,20.9,17.4,13.28,13.5
autism,29255243,,13.1,,15.1,10.5,41.97,15.125
autism,29255008,,17.1,,19.1,14.9,25.19,8.8
autism,29253638,,16.3,,17.5,14.2,32.43,12.375
autism,29251836,,16.1,,17.0,14.2,32.43,10.9
autism,29251835,,16.4,,18.9,15.3,18.65,12.1
autism,29251830,,15.9,,19.1,15.3,18.65,8.33333333333
autism,29251763,,17.1,,19.2,17.1,13.88,11.5
autism,29250728,,16.4,,18.9,16.2,27.05,14.125
autism,29250725,,17.4,,18.9,15.5,18.05,10.25
autism,29250591,,17.4,,22.8,17.6,23.5,13.375
autism,29250444,,20.7,,21.1,17.8,17.68,15.0
autism,29249827,,14.4,,18.3,13.1,35.27,16.0
autism,29249509,,14.1,,15.8,12.4,37.0,8.41666666667
autism,29249338,,14.5,,14.0,11.5,39.23,7.41666666667
autism,29249292,,17.9,,20.2,17.7,7.15,12.2
autism,29249220,,12.6,,14.2,11.3,39.74,7.35714285714
autism,29249012,,15.1,,16.1,13.8,38.66,10.4
autism,29249011,,18.5,,21.1,18.6,4.82,15.875
autism,29248932,,19.3,,21.9,19.2,8.4,19.3333333333
autism,29248927,,19.7,,21.8,18.7,9.82,14.0
autism,29248926,,14.8,,16.3,13.6,39.26,8.5
autism,29248925,,17.8,,21.1,16.6,15.2,11.1
autism,29248918,,17.0,,20.7,16.6,15.31,11.2
autism,29248917,,16.1,,19.9,14.9,35.91,14.625
autism,29248909,,17.8,,21.0,16.6,20.62,14.75
autism,29248908,,15.8,,18.2,14.5,31.51,10.5
autism,29248671,,17.9,,19.5,17.4,7.76,15.25
autism,29248615,,19.1,,21.8,18.3,16.36,13.25
autism,29247898,,18.6,,21.9,18.2,11.04,20.5
autism,29247748,,17.0,,19.7,16.1,27.35,11.5
autism,29247310,,13.4,,13.8,11.5,39.33,7.83333333333
autism,29246437,,16.7,,20.2,14.6,26.0,8.25
autism,29246205,,15.9,,15.1,13.4,28.94,10.3
autism,29245046,,16.8,,19.2,16.7,25.73,18.1666666667
autism,29245045,,17.2,,19.8,15.6,17.94,6.14285714286
autism,29244827,,14.1,,15.3,11.9,38.32,5.64285714286
autism,29244813,,16.4,,17.6,14.8,25.29,11.1
autism,29244797,,11.6,,12.1,8.4,52.76,4.55555555556
autism,29244198,,17.8,,19.4,16.5,26.34,14.375
autism,29244170,,16.6,,18.9,15.9,17.03,11.1
autism,29243100,,13.9,,14.3,12.3,37.2,8.16666666667
autism,29243099,,18.0,,20.3,17.2,13.68,14.875
autism,29243098,,15.7,,17.0,14.6,20.38,5.92857142857
autism,29243097,,15.2,,17.5,13.5,34.26,7.5
autism,29242499,,17.8,,17.8,16.6,15.2,11.0
autism,29242177,,15.6,,17.5,14.7,31.01,12.375
autism,29241371,,19.5,,22.0,19.2,3.19,15.125
autism,29241355,,16.7,,22.0,16.9,35.95,18.1666666667
autism,29241346,,18.8,,22.2,18.0,11.55,10.4
autism,29241345,,15.7,,17.2,14.5,36.83,13.125
autism,29241119,,16.1,,15.7,13.9,33.04,8.8
autism,29240517,,14.0,,14.7,12.6,36.59,7.41666666667
autism,29240439,,18.6,,19.8,16.6,20.62,11.0
autism,29240304,,13.4,,15.8,12.2,42.92,12.625
autism,29239865,,13.3,,15.6,11.6,49.75,8.6
autism,29239739,,17.8,,20.3,17.3,24.21,15.375
autism,29239145,,13.6,,11.9,10.8,46.47,8.7
autism,29238949,,18.4,,18.9,16.9,14.39,10.4
autism,29238619,,18.1,,19.8,16.6,20.72,10.2
autism,29238390,,16.5,,17.4,14.3,32.12,10.5
autism,29238311,,14.4,,13.9,12.6,36.49,8.33333333333
autism,29237331,,18.9,,22.3,19.1,3.39,14.875
autism,29237275,,15.8,,19.3,15.7,22.95,14.875
autism,29236921,,16.2,,18.1,14.2,26.91,10.7
autism,29236759,,15.9,,17.8,15.5,18.15,8.33333333333
autism,29236210,,17.5,,18.6,15.7,17.54,11.8
autism,29235982,,14.8,,17.0,14.0,27.42,11.3
autism,29235100,,15.8,,18.8,16.1,11.31,12.5
autism,29234932,,19.5,,22.6,19.1,-2.03,11.4
autism,29234931,,16.5,,23.2,18.5,15.65,18.8333333333
autism,29234930,,14.0,,16.7,13.4,39.67,12.125
autism,29234739,,15.7,,18.7,15.8,22.65,13.0
autism,29234492,,17.2,,19.0,15.1,29.89,14.0
autism,29233794,,17.3,,20.0,16.0,22.24,12.75
autism,29232961,,15.9,,17.9,15.3,24.07,12.5
autism,29232822,,13.8,,15.4,12.2,43.02,7.91666666667
autism,29232684,,19.5,,22.2,18.7,15.14,14.125
autism,29232031,,12.0,,13.2,10.2,48.09,11.875
autism,29231773,,14.2,,15.6,13.2,29.55,11.4
autism,29231063,,14.3,,15.5,13.0,29.96,10.25
autism,29230802,,15.9,,18.0,15.0,13.95,5.57142857143
autism,29230396,,14.2,,15.3,12.4,47.83,10.4
autism,29230307,,15.1,,17.2,14.3,21.19,7.75
autism,29230189,,16.6,,19.9,16.2,16.22,10.9
autism,29230163,,14.6,,14.1,12.5,36.69,6.0
autism,29229361,,18.4,,20.8,17.6,7.35,8.75
autism,29228834,,16.8,,18.5,14.8,19.87,7.16666666667
autism,29228780,,16.9,,20.6,16.8,20.11,16.375
autism,29228394,,13.6,,15.1,12.2,37.5,8.0
autism,29227584,,16.9,,19.0,15.3,24.17,8.9
autism,29227523,,18.6,,30.8,23.3,13.99,18.0
autism,29227297,,15.6,,18.1,16.3,5.29,11.4166666667
autism,29227200,,16.1,,17.8,14.6,31.31,10.7
autism,29226773,,19.8,,22.8,18.7,9.72,13.625
autism,29226604,,16.9,,18.0,15.6,23.36,13.375
autism,29226600,,15.8,,18.4,15.0,30.2,11.75
autism,29226543,,14.3,,15.2,13.5,23.22,6.16666666667
autism,29226493,,17.0,,18.5,16.0,16.73,14.25
autism,29226310,,14.0,,17.4,12.0,38.01,10.1
autism,29225671,,19.3,,21.8,18.5,10.43,11.2
autism,29225144,,15.3,,15.4,13.9,33.14,8.8
autism,29224969,,17.6,,19.2,16.0,22.24,12.875
autism,29224931,,16.6,,18.5,15.6,23.36,12.625
autism,29224188,,14.1,,16.3,12.7,25.46,6.375
autism,29224173,,16.7,,18.2,14.7,25.69,8.33333333333
autism,29223763,,19.1,,23.1,19.2,3.19,11.8
autism,29223496,,16.0,,17.6,14.8,19.87,12.2
autism,29222989,,17.4,,20.3,17.2,24.61,13.25
autism,29222613,,16.5,,18.9,15.7,33.78,13.875
autism,29222612,,18.0,,19.9,16.1,21.94,12.875
autism,29222572,,19.1,,21.7,17.5,18.28,18.1666666667
autism,29222403,,17.9,,21.2,17.2,19.1,12.0
autism,29221905,,16.4,,17.6,13.7,33.65,8.6
autism,29221782,,12.4,,12.0,8.8,57.06,6.71428571429
autism,29221615,,13.9,,13.4,10.8,46.47,7.75
autism,29220570,,15.9,,16.4,14.7,25.59,7.91666666667
autism,29219245,,16.6,,18.3,16.0,22.34,18.8333333333
autism,29218830,,14.2,,15.5,12.0,43.53,14.25
autism,29218791,,15.2,,15.5,13.0,35.47,8.58333333333
autism,29218603,,11.8,,10.8,8.1,58.99,7.25
autism,29218394,,18.0,,21.4,17.6,23.5,10.6
autism,29218006,,16.8,,17.8,15.4,23.77,11.4
autism,29217836,,18.2,,20.5,18.0,17.07,15.25
autism,29217683,,18.0,,19.4,16.9,20.01,12.875
autism,29217145,,18.2,,21.0,16.9,14.49,11.3
autism,29217098,,14.1,,13.4,11.9,43.73,11.1
autism,29216786,,14.9,,16.2,13.0,40.89,10.2
autism,29216746,,18.2,,19.5,17.1,19.4,15.6666666667
autism,29216607,,16.3,,15.6,14.7,20.28,8.0
autism,29216519,,15.6,,15.3,12.6,36.39,6.83333333333
autism,29216234,,10.6,,9.0,7.5,60.51,8.9
autism,29215695,,14.8,,15.7,12.6,36.39,10.1
autism,29215027,,15.2,,16.7,13.6,39.16,14.375
autism,29214796,,14.9,,17.1,14.6,25.9,10.6
autism,29214604,,16.3,,16.2,13.9,27.83,7.08333333333
autism,29214603,,17.5,,18.7,15.1,24.58,12.1
autism,29214412,,13.6,,15.3,11.1,40.24,14.5
autism,29214139,,18.2,,19.3,16.1,27.25,12.25
autism,29214138,,12.0,,12.8,10.4,53.0,8.4
autism,29214137,,18.0,,19.9,17.0,14.29,14.875
autism,29214136,,12.6,,15.9,11.3,45.25,7.875
autism,29214135,,16.8,,16.1,14.0,27.32,8.0
autism,29214134,,19.8,,31.0,24.5,16.36,25.0
autism,29214132,,17.6,,18.8,15.6,23.36,8.1
autism,29214131,,16.2,,19.6,14.8,20.08,8.75
autism,29214129,,16.4,,18.1,15.4,18.35,7.66666666667
autism,29214128,,18.6,,18.9,16.9,14.59,11.4
autism,29214007,,15.2,,17.1,14.6,25.8,8.58333333333
autism,29213525,,17.4,,18.5,15.3,18.65,6.21428571429
autism,29213072,,15.7,,17.5,15.1,35.31,13.25
autism,29212874,,19.1,,21.3,17.9,11.96,13.375
autism,29212472,,18.7,,20.5,17.5,18.28,13.625
autism,29212345,,17.0,,19.2,16.1,16.52,13.625
autism,29212016,,15.5,,18.6,14.0,22.11,5.5
autism,29211740,,16.3,,19.5,15.0,30.3,19.0
autism,29211115,,14.7,,14.1,12.9,30.26,5.5
autism,29210194,,16.1,,16.8,15.3,18.55,11.5
autism,29209412,,13.2,,13.4,10.0,48.6,8.41666666667
autism,29209394,,17.7,,17.4,15.2,24.27,10.875
autism,29209259,,15.2,,15.6,14.2,21.5,6.85714285714
autism,29209258,,17.4,,18.5,15.9,22.45,12.875
autism,29209173,,16.1,,16.3,15.5,18.25,13.25
autism,29209020,,17.5,,19.8,16.8,14.8,11.7
autism,29208915,,0.0,,5.4,4.8,83.66,5.0
autism,29208588,,14.2,,14.4,12.6,36.59,7.35714285714
autism,29208241,,15.2,,15.1,12.2,37.6,7.5
autism,29207797,,12.2,,12.4,9.7,44.0,8.33333333333
autism,29207548,,19.6,,23.9,20.5,10.57,17.8333333333
autism,29206810,,17.3,,20.2,16.0,16.73,14.125
autism,29206688,,18.5,,19.6,16.7,20.31,15.6666666667
autism,29206686,,15.6,,17.1,15.4,29.28,13.375
autism,29206358,,21.4,,26.4,22.4,0.28,11.0
autism,29206318,,16.0,,15.4,13.5,34.15,7.58333333333
autism,29206191,,16.1,,16.2,14.3,26.71,11.0
autism,29205605,,17.9,,21.2,17.5,7.66,15.5
autism,29204929,,14.6,,18.4,13.6,39.26,13.875
autism,29204928,,16.1,,17.4,14.6,26.0,7.75
autism,29204811,,15.5,,17.2,14.3,26.71,14.0
autism,29204785,,17.1,,19.0,15.1,29.89,10.5
autism,29204259,,16.0,,17.7,15.0,30.2,13.25
autism,29204130,,15.2,,16.4,14.1,37.84,12.0
autism,29204034,,16.4,,16.9,15.4,12.94,7.9
autism,29203851,,18.9,,19.9,18.7,4.41,8.16666666667
autism,29203509,,17.9,,20.2,17.2,13.68,12.6
autism,29203410,,15.9,,18.4,15.2,35.2,16.25
autism,29203264,,16.9,,19.0,15.0,24.88,13.375
autism,29202607,,16.4,,18.1,15.2,29.59,12.75
autism,29202172,,15.9,,18.4,16.0,22.34,13.375
autism,29201556,,15.1,,16.8,13.0,40.89,11.8
autism,29201482,,15.9,,18.4,15.3,34.9,13.8333333333
autism,29201281,,15.6,,18.0,14.8,36.12,13.75
autism,29200993,,18.0,,20.1,16.7,20.52,11.3
autism,29199448,,17.5,,19.8,16.0,16.83,13.875
autism,29199447,,21.6,,28.1,21.8,7.02,25.5
autism,29199433,,17.6,,18.5,15.9,17.13,8.41666666667
autism,29198722,,16.1,,19.7,16.2,21.84,13.0
autism,29198284,,18.1,,20.8,17.6,17.98,8.58333333333
autism,29198040,,18.0,,18.3,17.1,14.09,12.75
autism,29198039,,11.9,,11.7,8.1,58.89,4.9375
autism,29197649,,18.1,,20.3,17.7,6.95,11.4
autism,29197446,,10.1,,10.0,8.5,52.56,4.125
autism,29197230,,22.2,,26.3,22.3,0.49,17.8333333333
autism,29197172,,18.2,,19.6,15.7,23.05,13.5
autism,29197168,,15.7,,16.1,13.7,33.54,7.83333333333
autism,29196865,,16.3,,19.3,15.5,18.05,7.33333333333
autism,29196864,,18.9,,20.8,16.3,21.43,10.9
autism,29196863,,15.4,,18.2,14.6,31.21,13.25
autism,29196732,,16.0,,17.1,14.6,25.9,8.58333333333
autism,29196435,,17.0,,18.0,15.4,23.77,13.5
autism,29196072,,16.3,,16.8,14.3,21.19,6.57142857143
autism,29195167,,15.7,,19.3,13.8,28.03,13.875
autism,29195157,,16.6,,20.1,16.8,3.97,15.875
autism,29194420,,19.1,,22.4,18.6,20.76,12.125
autism,29193861,,13.6,,13.2,11.4,39.63,7.41666666667
autism,29193847,,15.3,,17.3,14.6,31.31,8.8
autism,29193826,,14.9,,16.6,14.0,32.94,13.25
autism,29192379,,15.2,,17.3,13.9,27.83,8.16666666667
autism,29192378,,16.1,,18.5,13.6,33.75,10.1
autism,29191694,,16.2,,18.1,15.4,18.35,10.5833333333
autism,29191242,,14.2,,17.1,12.8,30.46,8.5
autism,29190703,,14.8,,15.5,12.4,42.31,7.75
autism,29190358,,18.8,,21.2,19.0,-1.73,10.9
autism,29189919,,13.5,,13.4,11.3,45.15,6.91666666667
autism,29189918,,15.0,,16.8,13.5,34.26,8.41666666667
autism,29189917,,14.0,,14.2,11.7,38.92,6.78571428571
autism,29189916,,12.4,,12.8,10.0,43.29,5.6875
autism,29188907,,15.9,,17.6,13.8,27.93,6.92857142857
autism,29188589,,16.7,,16.2,14.5,26.1,9.0
autism,29188588,,15.9,,17.4,14.5,31.41,11.0
autism,29188587,,11.9,,11.9,9.9,43.39,5.0
autism,29188586,,15.7,,20.3,15.8,17.34,12.9
autism,29188585,,13.9,,15.1,11.1,45.76,11.0
autism,29188584,,15.9,,16.3,14.5,20.68,10.3333333333
autism,29188169,,14.3,,15.9,13.5,34.26,11.7
autism,29187318,,17.5,,20.2,16.6,15.41,12.75
autism,29185167,,13.2,,13.2,11.5,39.33,7.57142857143
autism,29184527,,14.3,,16.9,13.2,40.38,10.6
autism,29184203,,18.1,,20.8,17.2,8.27,10.7
autism,29184200,,18.2,,19.6,17.6,7.25,12.2
autism,29184182,,18.2,,20.0,16.5,20.82,7.6
autism,29184127,,16.4,,16.4,14.4,26.51,7.25
autism,29184062,,15.5,,17.2,13.5,28.84,7.0
autism,29183859,,10.2,,12.0,7.8,59.8,12.5
autism,29183825,,14.4,,15.6,12.3,48.13,10.1
autism,29183720,,18.8,,19.2,17.2,13.78,10.7
autism,29183406,,17.9,,19.9,16.9,14.49,12.5
autism,29182941,,14.4,,15.6,11.8,43.93,11.1
autism,29182643,,17.1,,19.6,17.0,14.29,11.0
autism,29182033,,19.0,,19.7,16.4,15.91,8.0
autism,29182009,,14.7,,16.7,12.2,37.6,6.14285714286
autism,29181689,,13.2,,13.1,10.6,41.66,5.6875
autism,29180748,,17.5,,18.7,16.4,15.71,11.7
autism,29180054,,15.2,,15.8,13.6,39.16,13.25
autism,29179772,,16.6,,16.8,14.7,30.91,10.3
autism,29179725,,14.8,,15.6,12.7,36.28,10.6
autism,29179569,,18.4,,21.3,17.6,7.25,11.6
autism,29178897,,14.0,,16.6,12.7,41.6,9.0
autism,29178513,,10.6,,9.0,7.6,60.31,10.2
autism,29178241,,15.9,,15.4,14.2,32.22,11.1
autism,29177710,,18.8,,22.3,18.9,14.63,16.8333333333
autism,29177618,,15.2,,17.0,13.5,28.84,7.41666666667
autism,29177617,,16.2,,20.9,15.7,22.95,10.9
autism,29177616,,15.2,,19.0,14.6,26.0,12.2
autism,29177606,,18.2,,21.5,18.0,11.75,13.75
autism,29177493,,15.7,,17.8,14.8,25.29,8.7
autism,29177103,,16.4,,17.2,15.2,29.59,10.9
autism,29177005,,13.5,,14.6,11.8,38.52,8.08333333333
autism,29176814,,0.0,,27.1,6.8,56.93,1.5
autism,29176705,,15.9,,16.9,14.5,31.51,10.9
autism,29175955,,16.6,,18.2,15.4,23.66,7.25
autism,29174949,,17.8,,19.3,16.6,26.14,10.9
autism,29174947,,17.3,,18.1,15.2,24.27,7.0
autism,29174305,,16.7,,18.1,16.1,11.21,7.5
autism,29173597,,15.5,,17.5,14.6,20.38,8.08333333333
autism,29172897,,17.7,,20.4,16.3,26.85,13.125
autism,29172681,,20.6,,21.6,18.7,9.93,11.1
autism,29172638,,15.9,,15.3,13.7,22.71,5.71428571429
autism,29172633,,17.3,,20.3,16.9,19.91,14.25
autism,29172231,,14.9,,15.1,14.4,21.09,11.8
autism,29172193,,17.6,,18.5,17.4,7.86,10.7
autism,29171565,,12.7,,14.6,10.5,41.87,5.5625
autism,29171095,,21.2,,23.2,20.7,-0.68,14.75
autism,29171019,,17.8,,18.7,16.9,14.39,7.83333333333
autism,29170942,,13.5,,14.1,12.1,37.71,6.71428571429
autism,29170941,,13.7,,15.2,11.1,45.66,7.58333333333
autism,29170940,,15.4,,17.1,15.0,30.2,13.75
autism,29170939,,12.5,,13.2,10.3,42.58,4.61111111111
autism,29170938,,11.2,,10.6,9.2,45.42,2.79166666667
autism,29170937,,17.6,,18.5,16.2,21.74,14.875
autism,29170936,,13.4,,15.0,12.4,31.48,7.21428571429
autism,29170935,,17.3,,20.4,15.2,18.96,13.625
autism,29170934,,15.6,,15.4,12.4,42.41,7.5
autism,29170759,,18.7,,22.8,20.0,-9.68,12.6
autism,29170682,,15.2,,16.6,13.4,39.77,10.9
autism,29170625,,19.3,,22.3,19.0,8.91,12.0
autism,29169997,,19.1,,22.4,18.0,11.55,13.5
autism,29169826,,13.3,,16.0,12.5,36.69,10.8
autism,29169253,,16.2,,16.2,14.7,25.59,10.5
autism,29169242,,15.2,,17.5,14.0,32.73,10.9
autism,29169240,,18.5,,19.8,16.8,20.11,13.75
autism,29169021,,18.1,,20.0,16.3,26.85,12.5
autism,29168910,,15.0,,18.1,14.2,32.43,10.7
autism,29168603,,15.3,,16.4,12.8,35.88,6.91666666667
autism,29168316,,16.4,,18.4,14.5,31.62,11.0
autism,29168313,,17.4,,20.6,16.5,20.92,15.875
autism,29168207,,20.5,,23.7,20.4,-10.69,10.7
autism,29168091,,18.7,,18.6,16.0,22.14,9.0
autism,29168090,,16.6,,19.7,15.3,23.97,11.2
autism,29168089,,16.5,,18.6,13.5,34.05,8.1
autism,29168088,,17.1,,18.6,16.2,21.74,14.375
autism,29168087,,17.8,,21.6,17.1,13.88,11.8
autism,29168086,,16.7,,20.6,15.9,27.96,13.75
autism,29167833,,19.7,,22.1,18.1,11.45,8.4
autism,29167722,,16.1,,16.1,14.1,32.63,8.8
autism,29167286,,17.8,,19.8,16.5,20.82,13.75
autism,29166792,,15.2,,16.9,14.1,21.8,8.58333333333
autism,29166775,,15.5,,16.0,14.5,20.68,7.5
autism,29166585,,12.6,,12.1,10.0,48.5,7.0
autism,29164967,,10.6,,10.5,8.8,51.75,6.5625
autism,29164825,,14.2,,15.3,12.5,36.79,14.5
autism,29164765,,11.0,,13.0,9.0,45.93,8.25
autism,29164447,,13.9,,16.9,12.3,37.2,8.25
autism,29164446,,18.2,,19.8,17.8,6.84,12.1
