id,term,n_words,has_source_link,has_article_link,has_other_link,region,journal
aut150,autism,179,True,False,False,europe,Biological Psychiatry
aut151,autism,251,True,False,False,namerica,eLife
aut152,autism,283,False,True,False,namerica,Journal of Cerebral Blood Flow and Metabolism
aut153,autism,222,True,False,False,namerica,
aut154,autism,309,False,False,False,namerica,Nature
aut155,autism,844,False,False,False,namerica,
aut156,autism,607,False,False,False,namerica,Nature
aut157,autism,385,True,True,False,namerica,Nature Communications
aut158,autism,241,False,True,False,europe,Current Biology
aut159,autism,370,False,False,False,namerica,
aut160,autism,274,True,False,False,namerica,Current Biology
aut161,autism,412,False,False,False,namerica,Science
aut162,autism,341,False,False,False,namerica,Journal of Development and Physical Disabilities
aut163,autism,620,True,False,False,namerica,Neuron
aut164,autism,440,True,False,False,namerica,Neuron
aut165,autism,371,False,True,False,asia,eNeuro
aut166,autism,301,True,True,False,europe,Journal of the American Academy of Child and Adolescent Psychiatry
aut167,autism,338,False,False,False,namerica,Human Molecular Genetics
aut168,autism,336,False,False,False,namerica,
aut169,autism,260,False,False,True,europe,
aut170,autism,380,False,True,False,namerica,Neuron
aut171,autism,323,False,True,False,namerica,Nature Medicine
aut172,autism,267,False,True,False,europe,Nature Medicine
aut173,autism,636,False,True,True,namerica,Annals of Clinical and Translational Neurology
aut174,autism,1093,False,True,False,namerica,Annals of Clinical and Translational Neurology
aut175,autism,657,True,False,False,namerica,International Society for Microbial Ecology Journal
aut176,autism,482,True,True,False,namerica,Proceedings of the National Academy of Sciences
aut177,autism,297,False,True,False,europe,Lancet Psychiatry
aut178,autism,367,False,False,False,namerica,
aut179,autism,248,True,True,False,namerica,Journal of Neuroscience
aut180,autism,233,False,True,False,europe,Nature Genetics
aut181,autism,438,True,True,False,namerica,Journal of Autism and Developmental Disorders
aut182,autism,253,True,False,False,namerica,Clinical Pediatrics
aut183,autism,229,True,True,False,europe,Journal of American Academy of Child and Adolescent Psychiatry
aut184,autism,425,False,True,False,namerica,Nature Communications
aut185,autism,382,False,True,False,namerica,Nature Communications
aut186,autism,488,False,False,False,namerica,Cell
aut187,autism,212,False,True,False,europe,Journal of the American Academy of Child and Adolescent Psychiatry
aut188,autism,208,True,False,False,namerica,Journal of Pediatric Psychology
aut189,autism,452,False,False,False,namerica,Nature
aut190,autism,221,False,False,False,namerica,Cerebral Cortex
aut191,autism,221,False,False,False,namerica,Cerebral Cortex
aut192,autism,430,True,False,False,namerica,Science
aut193,autism,217,False,True,False,europe,Proceedings of the National Academy of Sciences
aut194,autism,258,False,True,False,namerica,Science Translational Medicine
aut195,autism,449,True,False,False,namerica,Science Translational Medicine
aut196,autism,154,False,True,False,namerica,Science Translational Medicine
aut197,autism,310,True,True,False,europe,Molecular Psychiatry
aut198,autism,333,True,False,False,namerica,Cell Reports
aut199,autism,230,True,True,False,namerica,Journal of Neuroscience
aut200,autism,330,False,True,False,namerica,Scientific Reports
aut201,autism,362,True,True,False,namerica,Behaviour Research and Therapy
aut202,autism,425,True,False,False,europe,
aut203,autism,250,False,False,False,namerica,Molecular Psychiatry
aut204,autism,291,False,True,False,europe,Trends in Cognitive Sciences
aut205,autism,206,True,True,False,namerica,eLife
aut206,autism,124,False,False,False,namerica,Journal of Neuroscience
aut207,autism,307,False,False,False,namerica,Journal of Neuroscience
aut208,autism,448,True,False,False,namerica,Journal of Neurodevelopmental Disorders
aut209,autism,182,False,True,False,namerica,Proceedings of the National Academy of Sciences
aut210,autism,437,True,False,False,namerica,Autism Research
aut211,autism,392,False,True,False,namerica,Neuron
aut212,autism,371,False,False,False,namerica,Journal of the American Academy of Child and Adolescent Psychiatry
aut213,autism,481,True,True,False,namerica,Neuron
aut214,autism,195,False,False,False,namerica,Proceedings of the National Academy of Sciences
aut215,autism,280,False,False,False,namerica,mSphere
aut216,autism,437,False,True,False,asia,Science Advances
aut217,autism,181,True,True,False,namerica,Brain Connectivity
aut218,autism,296,False,False,False,namerica,Neuron
aut219,autism,323,False,False,False,namerica,Nature
aut220,autism,473,False,False,False,namerica,Translational Psychiatry
aut221,autism,272,False,False,False,europe,Translational Psychiatry
aut222,autism,424,False,False,False,namerica,Cell
aut223,autism,310,False,True,False,europe,Frontiers in Cellular Neuroscience
aut224,autism,256,True,True,True,namerica,Journal of Alternative and Complementary Medicine
aut225,autism,127,False,True,False,namerica,Journal of Neuroscience
aut227,autism,151,False,False,False,namerica,Journal of Neuroinflammation
aut228,autism,287,True,True,False,europe,Biological Psychiatry
aut229,autism,411,True,True,False,namerica,Psychological Science
aut230,autism,456,True,True,False,namerica,Nature Neuroscience
aut231,autism,394,True,False,False,europe,
aut232,autism,279,False,False,False,asia,Neuron
aut233,autism,236,False,False,False,namerica,Nature Neuroscience
aut234,autism,348,False,False,False,namerica,eLife
aut235,autism,418,False,False,False,namerica,
aut236,autism,296,False,True,False,namerica,PLOS Biology
aut237,autism,332,True,True,False,namerica,Autism Research
aut238,autism,526,False,False,False,namerica,BioEssays
aut239,autism,310,False,False,False,namerica,Nature
aut240,autism,213,True,False,False,namerica,
aut241,autism,550,True,True,False,namerica,Nature
aut242,autism,479,False,False,False,namerica,Nature
aut243,autism,190,False,False,False,namerica,JAMA Psychiatry
aut244,autism,562,False,True,False,namerica,Nature
aut245,autism,425,False,False,False,namerica,Proceedings of the National Academy of Sciences
aut246,autism,264,True,True,False,asia,Neuron
aut247,autism,248,False,False,False,namerica,eLife
aut248,autism,382,True,True,False,namerica,Atmospheric Environment
aut249,autism,388,False,False,False,namerica,Neuron
aut250,autism,295,False,False,False,europe,The BMJ
aut251,autism,37,False,True,False,namerica,Autism Research
aut252,autism,329,False,False,False,namerica,Hormones and Behavior
aut253,autism,474,False,True,False,namerica,eLife
aut254,autism,384,False,False,False,namerica,Molecular Psychiatry
aut255,autism,333,False,True,False,namerica,Nature Neuroscience
aut256,autism,182,False,False,False,namerica,Pediatric Neurology
aut257,autism,182,False,False,False,namerica,Pediatric Neurology
aut258,autism,404,True,False,False,namerica,Biological Psychiatry
aut259,autism,244,True,True,False,namerica,Disease Models & Mechanisms
aut260,autism,154,False,False,False,namerica,Cell Stem Cell
aut261,autism,455,False,False,False,namerica,Current Biology
aut262,autism,195,True,False,False,namerica,European Journal of Neuroscience
aut263,autism,309,False,False,False,namerica,Scientific Reports
aut264,autism,363,True,True,False,namerica,The BMJ
aut265,autism,297,True,False,False,namerica,European Journal of Neuroscience
aut266,autism,207,False,False,False,namerica,Nature Neuroscience
aut267,autism,476,False,True,False,namerica,Proceedings of the National Academy of Sciences
aut268,autism,307,True,True,False,europe,Genetics in Medicine
aut269,autism,441,False,False,False,namerica,Science Translational Medicine
aut270,autism,282,False,False,False,europe,Journal of Alzheimer's Disease
aut271,autism,271,True,False,False,namerica,Journal of Autism and Developmental Disorders
aut272,autism,208,True,False,False,namerica,Journal of Oncology Practice
aut273,autism,282,False,True,False,europe,Nature Neuroscience
aut274,autism,390,False,True,False,namerica,Proceedings of the National Academy of Sciences
aut275,autism,117,False,False,False,namerica,eNeuro
aut276,autism,388,True,True,False,europe,Neuron
aut277,autism,560,False,True,False,namerica,Cell Stem Cell
aut278,autism,413,False,False,False,namerica,Cell
aut279,autism,298,True,True,False,europe,Biological Psychiatry
aut280,autism,196,True,True,False,namerica,Biology Letters
aut281,autism,407,True,False,False,namerica,Nature
aut282,autism,330,False,False,False,namerica,Radiology
aut283,autism,176,False,False,False,namerica,JAMA
aut284,autism,599,False,False,False,namerica,Journal of the American Academy of Child and Adolescent Psychiatry
aut285,autism,396,True,False,False,namerica,Developmental Cell
aut286,autism,375,False,True,False,asia,Neuropsychopharmacology
aut287,autism,208,True,True,False,europe,PLOS
aut288,autism,185,False,False,False,africa,Proceedings of the National Academy of Sciences
aut289,autism,214,False,True,False,asia,Cell Research
aut290,autism,317,True,True,False,namerica,Bioinformatics
aut291,autism,414,False,True,False,namerica,Neuron
aut292,autism,490,False,False,False,europe,Journal of Theoretical Biology
aut293,autism,233,True,True,False,namerica,Molecular Psychiatry
aut294,autism,298,False,False,False,namerica,Journal of Clinical Investigation
aut295,autism,519,True,True,False,namerica,Current Biology
aut296,autism,412,False,True,False,namerica,JAMA Psychiatry
aut297,autism,348,True,True,False,namerica,Science Translational Medicine
aut298,autism,381,False,False,False,namerica,Science Translational Medicine
aut299,autism,285,False,True,False,namerica,Canadian Journal of Psychiatry
aut300,autism,471,False,True,False,namerica,Gut Microbes
aut301,autism,290,False,True,False,asia,Neuron
aut302,autism,423,True,False,False,namerica,American Journal of Human Genetics
aut303,autism,128,True,False,False,europe,Cell Reports
aut304,autism,366,False,False,False,europe,Current Biology
aut305,autism,468,False,False,False,namerica,Human Reproduction
aut306,autism,474,False,True,False,namerica,Neuron
aut307,autism,545,True,False,False,namerica,Neuron
aut308,autism,287,True,True,False,namerica,Biological Psychiatry
aut309,autism,211,True,True,False,asia,Translational Psychiatry
aut310,autism,292,True,False,False,namerica,Communication Disorders Quarterly
aut311,autism,286,True,True,False,asia,Journal of Neuroscience
aut312,autism,451,False,True,False,europe,Psychological Medicine
aut313,autism,293,False,True,False,namerica,Environmental Health Perspectives
aut314,autism,381,False,False,False,europe,The BMJ
aut315,autism,404,False,False,False,namerica,JAMA Psychiatry
aut316,autism,324,False,False,False,namerica,PLOS Genetics
aut317,autism,241,False,False,False,europe,Nature Communications
aut318,autism,418,False,False,False,namerica,Nature Neuroscience
aut319,autism,440,False,False,False,namerica,Nature Neuroscience
aut320,autism,325,False,True,False,europe,Frontiers in Robotics and AI
aut321,autism,477,False,False,False,namerica,Nature
aut322,autism,290,False,True,False,namerica,Nature Scientific Reports
aut323,autism,219,True,True,False,namerica,Small
aut324,autism,96,False,True,False,europe,Psychiatry Research
aut325,autism,452,False,False,False,namerica,Proceedings of the National Academy of Sciences
aut326,autism,247,False,True,False,namerica,Molecular Psychiatry
cog0,cognition,202,True,True,False,namerica,Journal of the American Geriatrics Society
cog1,cognition,305,False,False,False,namerica,Developmental Science
cog2,cognition,210,True,False,False,namerica,Journal of Neuroscience
cog3,cognition,366,False,False,False,namerica,Lancet
cog4,cognition,293,True,True,False,europe,Animal Cognition
cog5,cognition,223,True,True,False,europe,Scientific Reports
cog6,cognition,110,False,True,False,namerica,Science
cog7,cognition,723,True,False,False,namerica,
cog8,cognition,246,True,True,False,namerica,Brain and Cognition
cog9,cognition,317,False,False,False,namerica,Obesity
cog10,cognition,212,True,True,False,namerica,
cog11,cognition,298,True,False,False,namerica,Psychological Review
cog12,cognition,388,False,False,False,namerica,Neuron
cog13,cognition,112,False,True,False,namerica,PLOS ONE
cog14,cognition,401,False,False,False,namerica,Proceedings of the National Academy of Sciences
cog15,cognition,393,False,True,False,namerica,Developmental Science
cog16,cognition,427,True,True,False,namerica,Cognition
cog17,cognition,438,False,False,True,namerica,Alzheimer's & Dementia
cog18,cognition,373,False,True,False,namerica,Lancet Global Health
cog19,cognition,380,False,True,False,europe,Biological Psychiatry: Cognitive Neuroscience and Neuroimaging
cog20,cognition,443,False,False,False,europe,Alzheimer's & Dementia
cog21,cognition,415,True,True,False,europe,PLOS ONE
cog22,cognition,314,True,True,False,europe,Frontiers in Behavioral Neuroscience
cog23,cognition,104,True,True,False,asia,Neuropharmacology
cog24,cognition,290,True,False,False,europe,Scientific Reports
cog25,cognition,256,True,False,False,namerica,Journal of Clinical Oncology
cog26,cognition,336,False,False,False,namerica,Advances in Political Psychology
cog27,cognition,211,True,True,False,namerica,Journal of Nutrition
cog28,cognition,236,False,True,False,australia,Journal of Developmental & Behavioral Pediatrics
cog29,cognition,294,True,True,False,europe,Nature Medicine
cog30,cognition,279,False,True,False,,Experimental Gerontology
cog31,cognition,221,True,True,False,europe,PLOS ONE
cog32,cognition,447,True,False,False,asia,Proceedings of the National Academy of Sciences
cog33,cognition,369,True,True,False,namerica,International Journal of Primatology
cog34,cognition,334,False,True,False,namerica,PLOS Biology
cog35,cognition,265,False,False,False,namerica,eLife
cog36,cognition,349,False,True,False,europe,PLOS Biology
cog37,cognition,304,True,True,False,namerica,JAMA Neurology
cog38,cognition,263,True,False,False,europe,Nature Genetics
cog39,cognition,110,False,False,False,namerica,JAMA Neurology
cog40,cognition,110,False,False,False,namerica,JAMA Neurology
cog41,cognition,507,True,False,False,namerica,
cog42,cognition,289,False,True,False,europe,Journal of Neuroscience
cog43,cognition,241,False,False,False,europe,BMC Zoology
cog44,cognition,590,False,True,False,europe,Ecological Modelling
cog45,cognition,314,False,True,False,europe,Frontiers in Aging Neuroscience
cog46,cognition,167,False,False,False,namerica,Policy Insights from the Behavioral and Brain Sciences
cog47,cognition,245,False,False,False,europe,Nature Human Behaviour
cog48,cognition,440,True,True,False,namerica,Child Development
cog49,cognition,242,True,True,False,europe,Biological Psychiatry
cog50,cognition,275,False,False,False,namerica,Biological Psychiatry
cog51,cognition,203,True,True,False,namerica,Human Factors: The Journal of the Human Factors and Ergonomics Society
cog52,cognition,131,False,True,False,asia,Current Alzheimer Research
cog53,cognition,249,False,True,False,europe,Neurology
cog54,cognition,313,False,True,False,europe,BMC Zoology
cog55,cognition,201,False,True,False,namerica,Proceedings of the National Academy of Sciences
cog56,cognition,339,True,True,False,europe,Neuropsychologia
cog57,cognition,443,False,False,False,namerica,Lancet Psychiatry
cog58,cognition,332,True,True,False,asia,Developmental Medicine and Child Neurology
cog59,cognition,280,False,True,False,namerica,Behavioral Ecology
cog60,cognition,280,False,True,False,europe,Nature Neuroscience
cog61,cognition,416,False,True,False,namerica,Circulation
cog62,cognition,148,True,False,False,namerica,Journal of Alzheimer's Disease
cog63,cognition,859,True,True,False,namerica,Nature Neuroscience
cog64,cognition,255,True,False,False,namerica,
cog65,cognition,469,False,False,False,namerica,Lancet
cog66,cognition,163,False,False,False,namerica,JAMA
cog67,cognition,336,False,False,False,namerica,JAMA
cog68,cognition,327,True,False,False,namerica,Frontiers in Aging Neuroscience
cog69,cognition,435,False,False,False,namerica,Lancet Psychiatry
cog70,cognition,296,True,True,False,europe,Memory & Cognition
cog71,cognition,293,True,True,False,europe,Journal of Applied Phycology
cog72,cognition,374,True,False,False,europe,Scientific Reports
cog73,cognition,379,True,True,False,namerica,Animal Behaviour
cog74,cognition,172,False,False,False,namerica,PLOS Genetics
cog75,cognition,452,False,False,False,namerica,Memory & Cognition
cog76,cognition,557,True,True,True,europe,Computational Biology
cog77,cognition,550,False,True,False,namerica,Neuron
cog78,cognition,402,False,False,False,asia,Nature
cog79,cognition,403,False,True,False,namerica,Proceedings of the National Academy of Sciences
cog80,cognition,190,False,True,False,namerica,Journal of American College of Cardiology
cog81,cognition,430,False,False,False,namerica,Scientific Reports
cog82,cognition,129,False,True,False,namerica,PLOS Medicine
cog83,cognition,420,False,True,False,namerica,Scientific Reports
cog84,cognition,350,False,True,False,europe,Frontiers in Physics
cog85,cognition,312,True,False,False,namerica,Critical Care Medicine
cog86,cognition,640,False,False,False,namerica,Journal of Endocrinology
cog87,cognition,277,True,True,False,europe,Molecular Psychiatry
cog88,cognition,212,False,False,False,europe,Journal of Alzheimer's Disease
cog89,cognition,195,False,True,False,namerica,"Religion, Brain & Behavior"
cog90,cognition,342,True,True,False,namerica,PLOS ONE
cog91,cognition,312,False,True,False,namerica,Current Biology
cog92,cognition,117,False,True,False,namerica,Journal of Child Psychology and Psychiatry
cog93,cognition,238,True,True,False,asia,Journal of Alzheimer's Disease
cog94,cognition,175,False,True,False,namerica,PLOS Medicine
cog95,cognition,467,True,False,False,namerica,Proceedings of the National Academy of Sciences
cog96,cognition,452,True,True,False,namerica,Journal of Affective Disorders
cog97,cognition,205,False,True,False,namerica,PLOS Computational Biology
cog98,cognition,159,False,True,False,namerica,PLOS ONE
cog99,cognition,241,True,False,False,namerica,Frontiers in Human Neuroscience
cog100,cognition,386,False,False,False,namerica,Journal of Clinical Psychiatry
cog101,cognition,566,False,False,False,namerica,Cognition
cog102,cognition,171,False,True,False,namerica,PLOS Medicine
cog103,cognition,462,False,True,False,namerica,Molecular Psychiatry
cog104,cognition,296,True,True,False,namerica,Neuron
cog105,cognition,560,False,False,False,namerica,
cog106,cognition,763,False,False,False,namerica,
cog107,cognition,449,True,True,False,europe,Animal Cognition
cog108,cognition,461,True,False,False,namerica,Journal of Clinical Investigation
cog109,cognition,342,True,True,False,namerica,Aging Cell
cog110,cognition,182,False,True,False,namerica,PLOS ONE
cog111,cognition,480,False,True,False,namerica,Neuron
cog112,cognition,293,False,False,False,namerica,
cog113,cognition,396,True,False,False,namerica,Psychological Science
cog114,cognition,494,False,False,False,namerica,Animal Cognition
cog115,cognition,275,False,False,False,namerica,
cog116,cognition,518,False,False,False,namerica,Neurology
cog117,cognition,237,True,False,False,europe,Scientific Reports
cog118,cognition,266,False,True,False,europe,Cognitive Research: Principles and Implications
cog119,cognition,381,True,True,False,namerica,Behavioral Brain Research
cog120,cognition,483,False,True,False,namerica,Journal of Alzheimer's Disease
cog121,cognition,211,False,False,False,namerica,JAMA
cog122,cognition,333,True,True,False,namerica,Cognition
cog123,cognition,234,False,True,False,namerica,British Journal of Pharmacology
cog124,cognition,323,True,True,False,europe,PLOS Medicine
cog125,cognition,364,False,True,False,namerica,Neuron
cog126,cognition,554,True,True,False,namerica,Ecology
cog127,cognition,261,False,True,False,namerica,eLife
cog128,cognition,396,False,False,False,namerica,Frontiers in Aging Neuroscience
cog129,cognition,290,False,False,True,namerica,Frontiers in Psychology
cog130,cognition,331,True,False,False,namerica,Psychological Science
cog131,cognition,465,False,False,False,europe,Diabetologia
cog132,cognition,231,True,True,False,namerica,"Laterality: Asymmetries of Body, Brain and Cognition"
cog133,cognition,607,False,False,False,namerica,Nature
cog134,cognition,534,False,True,False,namerica,eLife
cog135,cognition,369,True,False,False,namerica,PLOS ONE
cog136,cognition,506,False,False,True,,CNS Drugs
cog137,cognition,494,False,False,False,namerica,Journal of Interior Design
cog138,cognition,385,True,True,False,namerica,Nature Communications
cog139,cognition,590,True,True,False,namerica,Neuropsychologia
cog140,cognition,590,True,True,False,namerica,Neuropsychologia
cog141,cognition,246,False,False,False,europe,British Journal of Sports Medicine
cog142,cognition,522,False,False,False,namerica,JAMA Neurology
cog143,cognition,258,False,False,False,namerica,
cog144,cognition,351,False,False,False,namerica,
cog145,cognition,339,True,True,False,europe,Journal of the National Cancer Institute
cog146,cognition,457,False,False,False,namerica,
cog147,cognition,229,True,True,False,namerica,JAMA Psychiatry
cog148,cognition,330,False,True,False,namerica,Nature
cog149,cognition,300,True,False,False,namerica,Journal of Alzheimer's Disease
cog150,cognition,162,False,False,False,europe,
cog151,cognition,346,False,True,False,namerica,Journal of the American College of Cardiology
cog152,cognition,329,True,True,False,namerica,NeuroImage
cog153,cognition,346,False,True,False,namerica,Journal of the American College of Cardiology
cog154,cognition,150,False,False,False,,
cog155,cognition,329,True,True,False,namerica,NeuroImage
cog156,cognition,166,False,False,False,namerica,Consciousness and Cognition
cog158,cognition,336,False,False,False,namerica,
cog159,cognition,340,False,False,False,namerica,NeuroToxicology
cog160,cognition,381,True,False,False,europe,Psychonomic Bulletin and Review
cog161,cognition,161,False,False,False,europe,Cognition
cog162,cognition,338,True,True,False,namerica,Nature Human Behavior
cog163,cognition,411,False,True,False,europe,Nature Human Behaviour
cog164,cognition,254,False,True,False,namerica,Nature Neuroscience
cog165,cognition,366,False,False,False,europe,
cog166,cognition,232,False,True,False,asia,Current Aging Science
cog167,cognition,252,False,True,False,europe,Journal of Alzheimer's Disease
