id,term,n_words,has_source_link,has_article_link,has_other_link,region,journal
29291670,autism,86,,,,,Journal of intellectual disabilities : JOID
29291476,autism,117,,,,,Psychiatry research
29291238,autism,138,,,,,eNeuro
29290869,autism,127,,,,,The open orthopaedics journal
29290407,autism,102,,,,,Journal of pediatric health care : official publication of National Association of Pediatric Nurse Associates & Practitioners
29290371,autism,98,,,,,Biological psychiatry
29290095,autism,142,,,,,Pediatrics international : official journal of the Japan Pediatric Society
29289793,autism,118,,,,,Research in developmental disabilities
29289663,autism,199,,,,,"Brain, behavior, and immunity"
29289438,autism,140,,,,,Pediatric neurology
29288796,autism,139,,,,,Neuroscience
29288087,autism,84,,,,,European journal of medical genetics
29287877,autism,90,,,,,International journal of pediatric otorhinolaryngology
29287831,autism,154,,,,,Progress in neuro-psychopharmacology & biological psychiatry
29287246,autism,39,,,,,Current opinion in neurobiology
29287035,autism,138,,,,,Medical care
29286586,autism,186,,,,,Autism research : official journal of the International Society for Autism Research
29286389,autism,120,,,,,Journal of visualized experiments : JoVE
29286317,autism,102,,,,,International journal of molecular sciences
29284820,autism,56,,,,,Indian journal of psychological medicine
29284801,autism,33,,,,,Indian journal of psychological medicine
29283066,autism,112,,,,,Current drug metabolism
29282895,autism,128,,,,,Autism research : official journal of the International Society for Autism Research
29282878,autism,194,,,,,Autism research : official journal of the International Society for Autism Research
29282644,autism,121,,,,,CEN case reports
29282584,autism,70,,,,,Journal of autism and developmental disorders
29281930,autism,85,,,,,"OTJR : occupation, participation and health"
29280230,autism,112,,,,,Journal of intellectual disability research : JIDR
29280190,autism,105,,,,,"Acta paediatrica (Oslo, Norway : 1992)"
29279889,autism,251,,,,,JAMA neurology
29278772,autism,155,,,,,NeuroImage
29277311,autism,123,,,,,Life sciences
29277263,autism,163,,,,,"Presse medicale (Paris, France : 1983)"
29277240,autism,70,,,,,L'Encephale
29276530,autism,146,,,,,Research in autism spectrum disorders
29275843,autism,137,,,,,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology
29275793,autism,133,,,,,Journal of acupuncture and meridian studies
29275509,autism,77,,,,,Journal of autism and developmental disorders
29275387,autism,65,,,,,BMJ case reports
29275337,autism,156,,,,,BMJ open
29274915,autism,180,,,,,Anaerobe
29274743,autism,110,,,,,Neurobiology of disease
29274502,autism,146,,,,,NeuroImage
29274201,autism,121,,,,,Proteomics. Clinical applications
29274095,autism,147,,,,,Glia
29274009,autism,86,,,,,Journal of autism and developmental disorders
29274008,autism,131,,,,,Journal of autism and developmental disorders
29273344,autism,237,,,,,L'Encephale
29272729,autism,99,,,,,Psychiatry research
29272297,autism,255,,,,,PloS one
29271527,autism,114,,,,,"American journal of reproductive immunology (New York, N.Y. : 1989)"
29271293,autism,98,,,,,"The Neuroscientist : a review journal bringing neurobiology, neurology and psychiatry"
29271092,autism,183,,,,,Molecular genetics & genomic medicine
29271070,autism,180,,,,,Autism research : official journal of the International Society for Autism Research
29270934,autism,169,,,,,Seminars in neurology
29270815,autism,152,,,,,Brain structure & function
29270283,autism,194,,,,,Molecular autism
29269185,autism,137,,,,,Archives de pediatrie : organe officiel de la Societe francaise de pediatrie
29268154,autism,192,,,,,Comprehensive psychiatry
29267601,autism,125,,,,,"Revista brasileira de psiquiatria (Sao Paulo, Brazil : 1999)"
29267417,autism,144,,,,,Sante mentale au Quebec
29267136,autism,111,,,,,"Food additives & contaminants. Part A, Chemistry, analysis, control, exposure & risk assessment"
29266976,autism,150,,,,,Journal of child and adolescent psychopharmacology
29266848,autism,186,,,,,Autism research : official journal of the International Society for Autism Research
29266823,autism,169,,,,,Autism research : official journal of the International Society for Autism Research
29266810,autism,167,,,,,Developmental neurobiology
29266770,autism,181,,,,,Molecular nutrition & food research
29266505,autism,133,,,,,Journal of intellectual disability research : JIDR
29266222,autism,69,,,,,Child development
29265992,autism,135,,,,,The Clinical neuropsychologist
29265723,autism,153,,,,,Human brain mapping
29265371,autism,54,,,,,Journal of applied behavior analysis
29264680,autism,69,,,,,Journal of autism and developmental disorders
29264397,autism,154,,,,,Neurology. Genetics
29264391,autism,131,,,,,Neurology. Genetics
29264390,autism,86,,,,,Neurology. Genetics
29263841,autism,129,,,,,NPJ genomic medicine
29263838,autism,77,,,,,NPJ genomic medicine
29262854,autism,195,,,,,Genome medicine
29262498,autism,86,,,,,Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine]
29262472,autism,435,,,,,Zhonghua er ke za zhi = Chinese journal of pediatrics
29262471,autism,230,,,,,Zhonghua er ke za zhi = Chinese journal of pediatrics
29262470,autism,201,,,,,Zhonghua er ke za zhi = Chinese journal of pediatrics
29262469,autism,170,,,,,Zhonghua er ke za zhi = Chinese journal of pediatrics
29260439,autism,135,,,,,"Cerebellum (London, England)"
29260380,autism,166,,,,,Brain imaging and behavior
29259892,autism,125,,,,,World journal of clinical pediatrics
29259543,autism,85,,,,,Frontiers in cellular neuroscience
29258329,autism,71,,,,,Behavior modification
29257937,autism,148,,,,,"Public health reports (Washington, D.C. : 1974)"
29257126,autism,107,,,,,Scientific data
29256924,autism,117,,,,,Current opinion in psychiatry
29255960,autism,76,,,,,Journal of autism and developmental disorders
29255778,autism,160,,,,,Neurobiology of stress
29255243,autism,114,,,,,Scientific reports
29255008,autism,222,,,,,The Journal of neuroscience : the official journal of the Society for Neuroscience
29253638,autism,110,,,,,Mitochondrion
29251836,autism,184,,,,,Autism research : official journal of the International Society for Autism Research
29251835,autism,216,,,,,Autism research : official journal of the International Society for Autism Research
29251830,autism,217,,,,,Autism research : official journal of the International Society for Autism Research
29251763,autism,65,,,,,Clinical genetics
29250728,autism,112,,,,,Journal of abnormal child psychology
29250725,autism,50,,,,,Indian journal of pediatrics
29250591,autism,133,,,,,eNeuro
29250444,autism,137,,,,,Autism research and treatment
29249827,autism,143,,,,,Translational psychiatry
29249509,autism,91,,,,,Seminars in pediatric neurology
29249338,autism,166,,,,,Computer methods and programs in biomedicine
29249292,autism,80,,,,,Molecular and cellular neurosciences
29249220,autism,118,,,,,"Journal of pharmacy & pharmaceutical sciences : a publication of the Canadian Society for Pharmaceutical Sciences, Societe canadienne des sciences pharmaceutiques"
29249012,autism,68,,,,,Journal of autism and developmental disorders
29249011,autism,69,,,,,Journal of autism and developmental disorders
29248932,autism,112,,,,,Folia phoniatrica et logopaedica : official organ of the International Association of Logopedics and Phoniatrics (IALP)
29248927,autism,128,,,,,Folia phoniatrica et logopaedica : official organ of the International Association of Logopedics and Phoniatrics (IALP)
29248926,autism,128,,,,,Folia phoniatrica et logopaedica : official organ of the International Association of Logopedics and Phoniatrics (IALP)
29248925,autism,111,,,,,Folia phoniatrica et logopaedica : official organ of the International Association of Logopedics and Phoniatrics (IALP)
29248918,autism,106,,,,,Folia phoniatrica et logopaedica : official organ of the International Association of Logopedics and Phoniatrics (IALP)
29248917,autism,109,,,,,Folia phoniatrica et logopaedica : official organ of the International Association of Logopedics and Phoniatrics (IALP)
29248909,autism,112,,,,,Folia phoniatrica et logopaedica : official organ of the International Association of Logopedics and Phoniatrics (IALP)
29248908,autism,121,,,,,Folia phoniatrica et logopaedica : official organ of the International Association of Logopedics and Phoniatrics (IALP)
29248671,autism,99,,,,,Molecular and cellular neurosciences
29248615,autism,105,,,,,Neuroscience letters
29247898,autism,92,,,,,Social science & medicine (1982)
29247748,autism,156,,,,,Behavioural brain research
29247310,autism,74,,,,,Journal of autism and developmental disorders
29246437,autism,142,,,,,Biological psychiatry
29246205,autism,131,,,,,BMC psychiatry
29245046,autism,119,,,,,Research in developmental disabilities
29245045,autism,120,,,,,Research in developmental disabilities
29244827,autism,165,,,,,PloS one
29244813,autism,181,,,,,PloS one
29244797,autism,91,,,,,Pediatric research
29244198,autism,82,,,,,Journal of the history of the behavioral sciences
29244170,autism,86,,,,,Sleep
29243100,autism,81,,,,,Journal of autism and developmental disorders
29243099,autism,69,,,,,Journal of autism and developmental disorders
29243098,autism,68,,,,,Journal of autism and developmental disorders
29243097,autism,74,,,,,Journal of autism and developmental disorders
29242499,autism,124,,,,,Scientific reports
29242177,autism,236,,,,,JMIR research protocols
29241371,autism,216,,,,,Disability and rehabilitation. Assistive technology
29241355,autism,59,,,,,Behavior modification
29241346,autism,103,,,,,Autism : the international journal of research and practice
29241345,autism,122,,,,,Autism : the international journal of research and practice
29241119,autism,74,,,,,Psychiatry research
29240517,autism,123,,,,,Physical & occupational therapy in pediatrics
29240439,autism,147,,,,,Molecular pharmaceutics
29240304,autism,201,,,,,Journal for specialists in pediatric nursing : JSPN
29239865,autism,63,,,,,Journal of developmental and behavioral pediatrics : JDBP
29239739,autism,117,,,,,Research in developmental disabilities
29239145,autism,65,,,,,Developmental neurobiology
29238949,autism,117,,,,,Family process
29238619,autism,113,,,,,Neural plasticity
29238390,autism,147,,,,,Clinical practice and epidemiology in mental health : CP & EMH
29238311,autism,89,,,,,Frontiers in psychiatry
29237331,autism,123,,,,,"Journal of psychopharmacology (Oxford, England)"
29237275,autism,133,,,,,Autism : the international journal of research and practice
29236921,autism,106,,,,,"Revista brasileira de psiquiatria (Sao Paulo, Brazil : 1999)"
29236759,autism,122,,,,,PloS one
29236210,autism,68,,,,,Journal of autism and developmental disorders
29235982,autism,52,,,,,NCHS data brief
29235100,autism,145,,,,,British journal of pharmacology
29234932,autism,73,,,,,Journal of autism and developmental disorders
29234931,autism,75,,,,,Journal of autism and developmental disorders
29234930,autism,66,,,,,Journal of autism and developmental disorders
29234739,autism,99,,,,,Heliyon
29234492,autism,151,,,,,Molecular autism
29233794,autism,175,,,,,Free radical biology & medicine
29232961,autism,81,,,,,Autism : the international journal of research and practice
29232822,autism,115,,,,,"Pharmaceuticals (Basel, Switzerland)"
29232684,autism,111,,,,,Psychopathology
29232031,autism,141,,,,,Psychiatry and clinical neurosciences
29231773,autism,116,,,,,"International review of psychiatry (Abingdon, England)"
29231063,autism,86,,,,,Journal of drug education
29230802,autism,168,,,,,Developmental medicine and child neurology
29230396,autism,109,,,,,Molecular neuropsychiatry
29230307,autism,161,,,,,"Global mental health (Cambridge, England)"
29230189,autism,161,,,,,Frontiers in neurology
29230163,autism,85,,,,,Molecular syndromology
29229361,autism,153,,,,,Journal of gynecology obstetrics and human reproduction
29228834,autism,180,,,,,Disability and rehabilitation
29228780,autism,82,,,,,Autism : the international journal of research and practice
29228394,autism,142,,,,,Schizophrenia bulletin
29227584,autism,128,,,,,"Genes, brain, and behavior"
29227523,autism,88,,,,,Pediatric annals
29227297,autism,97,,,,,Current opinion in psychiatry
29227200,autism,103,,,,,Telemedicine journal and e-health : the official journal of the American Telemedicine Association
29226773,autism,69,,,,,Perceptual and motor skills
29226604,autism,213,,,,,Autism research : official journal of the International Society for Autism Research
29226600,autism,153,,,,,Autism research : official journal of the International Society for Autism Research
29226543,autism,55,,,,,Developmental dynamics : an official publication of the American Association of Anatomists
29226493,autism,187,,,,,Paediatric anaesthesia
29226310,autism,141,,,,,Developmental medicine and child neurology
29225671,autism,93,,,,,Child and adolescent psychiatry and mental health
29225144,autism,104,,,,,European journal of medical genetics
29224969,autism,147,,,,,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology
29224931,autism,201,,,,,"Lancet (London, England)"
29224188,autism,80,,,,,Journal of autism and developmental disorders
29224173,autism,153,,,,,European child & adolescent psychiatry
29223763,autism,80,,,,,Neurobiology of disease
29223496,autism,126,,,,,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology
29222989,autism,71,,,,,Current opinion in neurobiology
29222613,autism,63,,,,,Journal of autism and developmental disorders
29222612,autism,71,,,,,Journal of autism and developmental disorders
29222572,autism,158,,,,,"Journal of speech, language, and hearing research : JSLHR"
29222403,autism,183,,,,,The Journal of neuroscience : the official journal of the Society for Neuroscience
29221905,autism,83,,,,,Neuroscience research
29221782,autism,135,,,,,Sleep medicine
29221615,autism,129,,,,,Journal of inorganic biochemistry
29220570,autism,77,,,,,ACS chemical neuroscience
29219245,autism,215,,,,,Autism research : official journal of the International Society for Autism Research
29218830,autism,212,,,,,International journal of language & communication disorders
29218791,autism,139,,,,,Developmental neurobiology
29218603,autism,112,,,,,Injury epidemiology
29218394,autism,132,,,,,Psychopharmacology
29218006,autism,156,,,,,Frontiers in aging neuroscience
29217836,autism,119,,,,,Nature reviews. Drug discovery
29217683,autism,146,,,,,The Journal of neuroscience : the official journal of the Society for Neuroscience
29217145,autism,82,,,,,Progress in neuro-psychopharmacology & biological psychiatry
29217098,autism,124,,,,,The Journal of pediatrics
29216786,autism,84,,,,,Nordic journal of psychiatry
29216746,autism,95,,,,,Behavior modification
29216607,autism,144,,,,,Asian journal of psychiatry
29216519,autism,137,,,,,Cognition
29216234,autism,206,,,,,PloS one
29215695,autism,73,,,,,Journal of psychosocial nursing and mental health services
29215027,autism,117,,,,,Scientific reports
29214796,autism,117,,,,,Journal of psychiatry & neuroscience : JPN
29214604,autism,64,,,,,Journal of autism and developmental disorders
29214603,autism,70,,,,,Journal of autism and developmental disorders
29214412,autism,146,,,,,European journal of epidemiology
29214139,autism,107,,,,,Behavior analysis in practice
29214138,autism,47,,,,,Behavior analysis in practice
29214137,autism,56,,,,,Behavior analysis in practice
29214136,autism,41,,,,,Behavior analysis in practice
29214135,autism,48,,,,,Behavior analysis in practice
29214134,autism,127,,,,,Behavior analysis in practice
29214132,autism,71,,,,,Behavior analysis in practice
29214131,autism,43,,,,,Behavior analysis in practice
29214129,autism,77,,,,,Behavior analysis in practice
29214128,autism,83,,,,,Behavior analysis in practice
29214007,autism,138,,,,,Molecular autism
29213525,autism,225,,,,,Dementia & neuropsychologia
29213072,autism,107,,,,,Scientific reports
29212874,autism,94,,,,,Molecular biology of the cell
29212472,autism,162,,,,,BMC medical informatics and decision making
29212345,autism,112,,,,,Autism : the international journal of research and practice
29212016,autism,87,,,,,Cell reports
29211740,autism,195,,,,,PloS one
29211115,autism,124,,,,,Trends in psychiatry and psychotherapy
29210194,autism,185,,,,,Autism research : official journal of the International Society for Autism Research
29209412,autism,128,,,,,Child and adolescent psychiatry and mental health
29209394,autism,46,,,,,Psychiatry investigation
29209259,autism,79,,,,,Frontiers in psychology
29209258,autism,167,,,,,Frontiers in psychology
29209173,autism,91,,,,,Frontiers in cellular neuroscience
29209020,autism,136,,,,,European journal of human genetics : EJHG
29208915,autism,10,,,,,Scientific reports
29208588,autism,200,,,,,JMIR mHealth and uHealth
29208241,autism,60,,,,,Placenta
29207797,autism,158,,,,,Journal of clinical and diagnostic research : JCDR
29207548,autism,58,,,,,International journal of molecular sciences
29206810,autism,100,,,,,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology
29206688,autism,104,,,,,Current opinion in psychiatry
29206686,autism,117,,,,,Current opinion in psychiatry
29206358,autism,225,,,,,Autism research : official journal of the International Society for Autism Research
29206318,autism,148,,,,,Human brain mapping
29206191,autism,179,,,,,International journal of environmental research and public health
29205605,autism,81,,,,,Journal of intellectual disability research : JIDR
29204929,autism,71,,,,,Journal of autism and developmental disorders
29204928,autism,66,,,,,Journal of autism and developmental disorders
29204811,autism,234,,,,,Journal of genetic counseling
29204785,autism,94,,,,,"Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation"
29204259,autism,163,,,,,Molecular autism
29204130,autism,54,,,,,Frontiers in psychology
29204034,autism,48,,,,,Journal of neurosciences in rural practice
29203851,autism,134,,,,,Molecular psychiatry
29203509,autism,151,,,,,BMJ open
29203410,autism,94,,,,,Respiratory physiology & neurobiology
29203264,autism,129,,,,,Neuroscience research
29202607,autism,66,,,,,Autism : the international journal of research and practice
29202172,autism,111,,,,,Journal of allied health
29201556,autism,161,,,,,Brain and behavior
29201482,autism,43,,,,,Case reports in psychiatry
29201281,autism,65,,,,,Proceedings. IEEE International Symposium on Biomedical Imaging
29200993,autism,163,,,,,Frontiers in neuroscience
29199448,autism,159,,,,,Behavior modification
29199447,autism,90,,,,,Behavior modification
29199433,autism,110,,,,,Behavior modification
29198722,autism,91,,,,,American journal of human genetics
29198284,autism,148,,,,,Journal of the International Neuropsychological Society : JINS
29198040,autism,68,,,,,Journal of autism and developmental disorders
29198039,autism,63,,,,,Journal of autism and developmental disorders
29197649,autism,137,,,,,Journal of biomedical informatics
29197446,autism,28,,,,,The journal of evidence-based dental practice
29197230,autism,155,,,,,Cognition
29197172,autism,165,,,,,Autism research : official journal of the International Society for Autism Research
29197168,autism,203,,,,,Autism research : official journal of the International Society for Autism Research
29196865,autism,68,,,,,Journal of autism and developmental disorders
29196864,autism,82,,,,,Journal of autism and developmental disorders
29196863,autism,67,,,,,Journal of autism and developmental disorders
29196732,autism,111,,,,,Scientific reports
29196435,autism,150,,,,,Cold Spring Harbor perspectives in biology
29196072,autism,145,,,,,Brain & development
29195167,autism,121,,,,,Psychiatry research
29195157,autism,118,,,,,Research in developmental disabilities
29194420,autism,116,,,,,Brain sciences
29193861,autism,191,,,,,Autism research : official journal of the International Society for Autism Research
29193847,autism,161,,,,,"Genes, brain, and behavior"
29193826,autism,167,,,,,Autism research : official journal of the International Society for Autism Research
29192379,autism,69,,,,,Journal of autism and developmental disorders
29192378,autism,74,,,,,Journal of autism and developmental disorders
29191694,autism,91,,,,,Neuroscience letters
29191242,autism,137,,,,,Genome medicine
29190703,autism,228,,,,,PloS one
29190358,autism,129,,,,,"Cerebral cortex (New York, N.Y. : 1991)"
29189919,autism,74,,,,,Journal of autism and developmental disorders
29189918,autism,75,,,,,Journal of autism and developmental disorders
29189917,autism,80,,,,,Journal of autism and developmental disorders
29189916,autism,95,,,,,Journal of autism and developmental disorders
29188907,autism,138,,,,,The Journal of clinical psychiatry
29188589,autism,68,,,,,Journal of autism and developmental disorders
29188588,autism,61,,,,,Journal of autism and developmental disorders
29188587,autism,61,,,,,Journal of autism and developmental disorders
29188586,autism,76,,,,,Journal of autism and developmental disorders
29188585,autism,75,,,,,Journal of autism and developmental disorders
29188584,autism,74,,,,,Journal of autism and developmental disorders
29188169,autism,73,,,,,Current developmental disorders reports
29187318,autism,138,,,,,Disability and health journal
29185167,autism,72,,,,,Journal of autism and developmental disorders
29184527,autism,85,,,,,Frontiers in psychology
29184203,autism,86,,,,,Nature neuroscience
29184200,autism,102,,,,,Nature neuroscience
29184182,autism,127,,,,,Scientific reports
29184127,autism,116,,,,,Scientific reports
29184062,autism,116,,,,,Scientific reports
29183859,autism,137,,,,,"Joint, bone, spine : revue du rhumatisme"
29183825,autism,145,,,,,Neuroscience
29183720,autism,119,,,,,Archives of medical research
29183406,autism,136,,,,,Behavioural and cognitive psychotherapy
29182941,autism,86,,,,,Psychiatry research
29182643,autism,107,,,,,PloS one
29182033,autism,140,,,,,Disability and rehabilitation
29182009,autism,95,,,,,Behavior modification
29181689,autism,77,,,,,Journal of autism and developmental disorders
29180748,autism,103,,,,,Nature neuroscience
29180054,autism,322,,,,,L'Encephale
29179772,autism,123,,,,,Genome medicine
29179725,autism,144,,,,,BMC medical genomics
29179569,autism,96,,,,,Behavior modification
29178897,autism,180,,,,,Journal of neuroinflammation
29178513,autism,167,,,,,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
29178241,autism,119,,,,,American journal of medical genetics. Part A
29177710,autism,122,,,,,Current psychiatry reports
29177618,autism,89,,,,,Journal of autism and developmental disorders
29177617,autism,65,,,,,Journal of autism and developmental disorders
29177616,autism,72,,,,,Journal of autism and developmental disorders
29177606,autism,68,,,,,Journal of autism and developmental disorders
29177493,autism,125,,,,,Brain : a journal of neurology
29177103,autism,77,,,,,Translational neuroscience
29177005,autism,107,,,,,Research in autism spectrum disorders
29176814,autism,3,,,,,PloS one
29176705,autism,134,,,,,Scientific reports
29175955,autism,179,,,,,The Journal of neuroscience : the official journal of the Society for Neuroscience
29174949,autism,138,,,,,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology
29174947,autism,132,,,,,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology
29174305,autism,151,,,,,Hormones and behavior
29173597,autism,98,,,,,The Canadian journal of cardiology
29172897,autism,60,,,,,Journal of intellectual disabilities : JOID
29172681,autism,118,,,,,Behavior modification
29172638,autism,82,,,,,Autism : the international journal of research and practice
29172633,autism,128,,,,,Autism : the international journal of research and practice
29172231,autism,105,,,,,"Acta paediatrica (Oslo, Norway : 1992)"
29172193,autism,60,,,,,Brain and nerve = Shinkei kenkyu no shinpo
29171565,autism,91,,,,,JPMA. The Journal of the Pakistan Medical Association
29171095,autism,128,,,,,Journal of veterinary internal medicine
29171019,autism,120,,,,,Developmental psychobiology
29170942,autism,64,,,,,Journal of autism and developmental disorders
29170941,autism,75,,,,,Journal of autism and developmental disorders
29170940,autism,74,,,,,Journal of autism and developmental disorders
29170939,autism,62,,,,,Journal of autism and developmental disorders
29170938,autism,72,,,,,Journal of autism and developmental disorders
29170937,autism,74,,,,,Journal of autism and developmental disorders
29170936,autism,75,,,,,Journal of autism and developmental disorders
29170935,autism,99,,,,,Journal of autism and developmental disorders
29170934,autism,46,,,,,Journal of autism and developmental disorders
29170759,autism,150,,,,,Biological psychiatry. Cognitive neuroscience and neuroimaging
29170682,autism,135,,,,,Research in autism spectrum disorders
29170625,autism,134,,,,,Frontiers in neuroscience
29169997,autism,136,,,,,Progress in neuro-psychopharmacology & biological psychiatry
29169826,autism,148,,,,,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology
29169253,autism,61,,,,,Behavior modification
29169242,autism,81,,,,,Behavior modification
29169240,autism,74,,,,,Behavior modification
29169021,autism,114,,,,,Research in developmental disabilities
29168910,autism,167,,,,,Journal of paediatrics and child health
29168603,autism,140,,,,,Bipolar disorders
29168316,autism,141,,,,,Journal of cellular and molecular medicine
29168313,autism,149,,,,,Acta ophthalmologica
29168207,autism,77,,,,,Journal of neuroscience research
29168091,autism,73,,,,,Journal of autism and developmental disorders
29168090,autism,75,,,,,Journal of autism and developmental disorders
29168089,autism,64,,,,,Journal of autism and developmental disorders
29168088,autism,65,,,,,Journal of autism and developmental disorders
29168087,autism,78,,,,,Journal of autism and developmental disorders
29168086,autism,147,,,,,Brain imaging and behavior
29167833,autism,175,,,,,Biological psychiatry. Cognitive neuroscience and neuroimaging
29167722,autism,90,,,,,Basic and clinical neuroscience
29167286,autism,135,,,,,Cold Spring Harbor molecular case studies
29166792,autism,147,,,,,Disability and rehabilitation
29166775,autism,63,,,,,Behavior modification
29166585,autism,33,,,,,Immunity
29164967,autism,75,,,,,The International journal of neuroscience
29164825,autism,185,,,,,Autism research : official journal of the International Society for Autism Research
29164765,autism,95,,,,,Obesity reviews : an official journal of the International Association for the Study of Obesity
29164447,autism,75,,,,,Journal of autism and developmental disorders
29164446,autism,71,,,,,Journal of autism and developmental disorders
29164445,autism,77,,,,,Journal of autism and developmental disorders
29164444,autism,78,,,,,Journal of autism and developmental disorders
29164443,autism,80,,,,,Journal of autism and developmental disorders
29164442,autism,55,,,,,Journal of autism and developmental disorders
29164441,autism,82,,,,,Journal of autism and developmental disorders
29164440,autism,77,,,,,Journal of autism and developmental disorders
29164439,autism,55,,,,,Journal of autism and developmental disorders
29164438,autism,70,,,,,Journal of autism and developmental disorders
29164437,autism,71,,,,,Journal of autism and developmental disorders
29164436,autism,76,,,,,Journal of autism and developmental disorders
29164435,autism,76,,,,,Journal of autism and developmental disorders
29164126,autism,142,,,,,Frontiers in nutrition
29164079,autism,146,,,,,Frontiers in pediatrics
29163293,autism,130,,,,,Frontiers in psychology
29163124,autism,171,,,,,Frontiers in synaptic neuroscience
29163099,autism,110,,,,,Frontiers in human neuroscience
29163063,autism,169,,,,,Frontiers in neural circuits
29163043,autism,135,,,,,Frontiers in molecular neuroscience
29162653,autism,80,,,,,Cold Spring Harbor molecular case studies
29162518,autism,109,,,,,Neuroscience and biobehavioral reviews
29162036,autism,135,,,,,BMC cancer
29161772,autism,159,,,,,The European journal of neuroscience
29161443,autism,57,,,,,Journal of tropical pediatrics
29161222,autism,76,,,,,Journal of homosexuality
29161137,autism,119,,,,,Applied neuropsychology. Child
29160842,autism,124,,,,,International journal of environmental research and public health
29160095,autism,85,,,,,Autism : the international journal of research and practice
29160023,autism,209,,,,,Autism research : official journal of the International Society for Autism Research
29159970,autism,112,,,,,American journal of medical genetics. Part A
29159906,autism,137,,,,,Autism research : official journal of the International Society for Autism Research
29159888,autism,106,,,,,Journal of intellectual disability research : JIDR
29159857,autism,458,,,,,The Cochrane database of systematic reviews
29159812,autism,136,,,,,The British journal of developmental psychology
29159579,autism,69,,,,,Journal of autism and developmental disorders
29159578,autism,89,,,,,Journal of autism and developmental disorders
29159559,autism,123,,,,,Journal of medical systems
29159135,autism,152,,,,,Schizophrenia research. Cognition
29158888,autism,92,,,,,Molecular autism
29158765,autism,123,,,,,Korean journal of pediatrics
29157514,autism,108,,,,,International journal of law and psychiatry
29157090,autism,195,,,,,"Journal of environmental science and health. Part A, Toxic/hazardous substances & environmental engineering"
29156991,autism,122,,,,,Brain injury
29156388,autism,73,,,,,Research in developmental disabilities
29155494,autism,122,,,,,Autism research : official journal of the International Society for Autism Research
